"timestamp.ms","jerk.cost.m2s5"
161597.203,40175.243
162368.688,48019.088
163169.469,51016.558
163940.953,48024.588
164712.438,49704.689
165454.625,41377.424
166255.406,53255.322
166997.594,45963.266
167769.078,43749.377
168560.094,56890.067
169331.578,48043.264
170083.531,39116.823
170845.25,46835.447
171616.734,45628.456
172407.75,45575.587
173179.234,46434.18
173960.484,41907.218
174731.969,43626.446
175503.453,46340.447
176294.469,49854.684
177046.422,42873.503
177847.203,50150.577
178628.453,47832.042
179380.406,40373.52
180171.422,53774.404
180933.141,45535.008
181704.625,45293.375
182466.344,50698.699
183208.531,40932.318
184009.312,55084.139
184790.562,51620.484
185562.047,49949.325
186333.531,46378.41
187085.484,44333.106
187866.734,45299.023
188657.75,56047.055
189439,44595.757
190220.25,49644.626
190991.734,46680.091
191782.75,55376.37
192544.469,49570.817
193345.25,45012.899
194126.5,52950.492
194917.516,49553.758
195679.234,48001.31
196460.484,54936.851
197231.969,50654.801
198013.219,44107.782
198814,47663.946
199595.25,43436.279
200356.969,41876.906
201147.984,40928.192
201948.766,51784.692
202720.25,44076.224
203521.031,50687.485
204302.281,46629.2
205073.766,46389.529
205864.781,47916.652
206646.031,51216.729
207417.516,47339.203
208218.297,51521.653
208980.016,48765.667
209780.797,50338.096
210562.047,46869.192
211343.297,42583.975
212153.844,51012.979
212915.562,43430.255
213716.344,47915.968
214497.594,48473.69
215288.609,46382.505
216069.859,51186.018
216851.109,46817.345
217603.062,40702.036
218403.844,53013.613
219165.562,46312.928
219937.047,49460.171
220718.297,45725.18
221480.016,44917.728
222271.031,54684.982
223062.047,55319.116
223814,40404.194
224614.781,46290.652
225396.031,36158.034
226187.047,47698.735
226968.297,45895.148
227739.781,37088.963
228550.328,50862.012
229331.578,46934.774
230122.594,47123.307
230913.609,46816.001
231704.625,50987.543
232476.109,46228.998
233276.891,46968.933
234048.375,42302.781
234849.156,47295.537
235649.938,45771.199
236431.188,48558.892
237202.672,43790.693
238013.219,50101.82
238804.234,49265
239585.484,43350.809
240376.5,44048.994
241177.281,46370.759
241948.766,50611.089
242749.547,51370.294
243530.797,44543.016
244312.047,49742.776
245122.594,50471.5
245913.609,44605.367
246704.625,37098.966
247495.641,38845.359
248286.656,38172.222
249087.438,55404.679
249868.688,35411.304
250669.469,40766.372
251440.953,43314.134
252241.734,50626.772
253022.984,46423.172
253823.766,45072.454
254614.781,36423.272
255405.797,47316.141
256187.047,44192.763
256987.828,49396.223
257769.078,37564.089
258560.094,46341.73
259360.875,39154.281
260142.125,39242.644
260933.141,48696.892
261724.156,50467.715
262524.938,44695.779
263325.719,48027.313
264116.734,46595.392
264897.984,51340.729
265679.234,49414.029
266470.25,41400.037
267261.266,49875.419
268052.281,44484.535
268833.531,46270.611
269624.547,43314.676
270415.562,51073.971
271196.812,41884.982
271987.828,52032.215
272749.547,40285.567
273550.328,42753.077
274341.344,52911.986
275103.062,48551.193
275874.547,52318.623
276675.328,51440.252
277446.812,46068.734
278237.828,47034.695
279019.078,51373.258
279790.562,51143.953
280562.047,51720.312
281353.062,51159.431
282134.312,52279.058
282886.266,50300.26
283696.812,43331.88
284458.531,46243.323
285249.547,49842.7
286021.031,46933.139
286802.281,49550.039
287583.531,56976.983
288345.25,46811.737
289126.5,41592.015
289888.219,45143.24
290669.469,41598.464
291440.953,47441.913
292222.203,45362.645
293013.219,47285.96
293774.938,45295.519
294556.188,52081.999
295327.672,40994.307
296099.156,46908.126
296880.406,43218.691
297661.656,45152.726
298452.672,52917.411
299214.391,51562.216
299985.875,46996.565
300767.125,46971.734
301567.906,54291.744
302349.156,54661.543
303120.641,49080.186
303911.656,41595.871
304683.141,53111.085
305454.625,38439.044
306216.344,45892.943
307007.359,49357.375
307798.375,47834.07
308560.094,46474.859
309341.344,46428.182
310132.359,48600.67
310913.609,45583.33
311694.859,38794.721
312476.109,45630.904
313257.359,50907.593
314038.609,45870.627
314829.625,51006.276
315601.109,46616.004
316382.359,47820.103
317183.141,50695.211
317944.859,44644.123
318735.875,49401.537
319497.594,46787.053
320288.609,46584.341
321050.328,41220.178
321841.344,46420.166
322632.359,48467.795
323423.375,46683.576
324224.156,45020.535
325015.172,49682.218
325786.656,42368.963
326587.438,54204.472
327368.688,42037.551
328149.938,38849.715
328940.953,43974.967
329722.203,43112.601
330493.688,44119.862
331284.703,46785.075
332085.484,54398.779
332866.734,46084.626
333657.75,52473.535
334419.469,46256.589
335210.484,44628.939
335991.734,45320.409
336782.75,50649.008
337554.234,48862.254
338315.953,42859.575
339087.438,46881.594
339868.688,44702.377
340640.172,53318.704
341401.891,40120.002
342163.609,46042.857
342954.625,49908.652
343735.875,48455.375
344517.125,45242.422
345288.609,44642.016
346079.625,53351.011
346831.578,46518.131
347603.062,49203.382
348384.312,49877.443
349185.094,54521.095
349946.812,44777.998
350747.594,49939.674
351499.547,38234.032
352300.328,51939.437
353081.578,50705.243
353833.531,39402.614
354605.016,53497.245
355396.031,49068.33
356167.516,49501.703
356958.531,45008.566
357730.016,41873.722
358521.031,46097.29
359302.281,49995.543
360064,39113.842
360835.484,53082.557
361606.969,51473.587
362378.453,50549.704
363159.703,47082.2
363940.953,50727.637
364702.672,44016.864
365493.688,44437.479
366265.172,47030.642
367017.125,46635.258
367808.141,45714.427
368560.094,43815.707
369360.875,49306.964
370112.828,45388.456
370884.312,43584.603
371665.562,42049.859
372446.812,50264.158
373218.297,42127.823
373970.25,41216.524
374741.734,52543.849
375513.219,49532.338
376265.172,43722.24
377056.188,51619.805
377798.375,40960.263
378589.391,57750.044
379351.109,41907.389
380103.062,42821.565
380864.781,49590.663
381655.797,54329.494
382417.516,39818.541
383179.234,45027.193
383940.953,43114.047
384712.438,48976.476
385513.219,55079.071
386294.469,45128.869
387056.188,48892.9
387837.438,46824.132
388608.922,47558.556
389399.938,54207.564
390171.422,50880.927
390933.141,46367.18
391714.391,44496.228
392505.406,48217.252
393296.422,56761.728
394058.141,38995.42
394829.625,44125.939
395610.875,45254.746
396401.891,52254.098
397153.844,40735.026
397925.328,42703.269
398706.578,46945.549
399468.297,41294.235
400249.547,53249.116
401040.562,43165.084
401812.047,51965.47
402583.531,43979.668
403364.781,48579.917
404136.266,41874.765
404888.219,45392.281
405659.703,44292.45
406450.719,56593.544
407202.672,38665.243
407983.922,42385.657
408755.406,47386.253
409526.891,52379.938
410298.375,39800.947
411069.859,51317.037
411841.344,44770.596
412632.359,49771.474
413403.844,43784.518
414185.094,47937.396
414956.578,46430.138
415728.062,49349.731
416519.078,48224.78
417300.328,48025.074
418071.812,42852.9
418833.531,49061.877
419605.016,52727.947
420405.797,46894.701
421157.75,38684.064
421948.766,46104.569
422749.547,48168.551
423521.031,42723.495
424302.281,45432.394
425083.531,51035.396
425864.781,51328.655
426606.969,45611.302
427388.219,48625.279
428149.938,47815.929
428921.422,50296.351
429702.672,48563.188
430493.688,51147.125
431245.641,41264.832
432026.891,51410.956
432788.609,47094.956
433560.094,44526.876
434331.578,44922.946
435103.062,42135.392
435884.312,47054.087
436675.328,50238.062
437437.047,46069.487
438208.531,47441.951
438970.25,51406.257
