# StartTime: 2016/03/14 18:18:53
timestamp.ms,rr.interval.s
384754.77001953125,0.518
385272.77001953125,0.269
385541.77001953125,0.182
385723.77001953125,0.45
386173.77001953125,0.128
386301.77001953125,0.326
386627.77001953125,0.464
387091.77001953125,0.462
387553.77001953125,0.453
388006.77001953125,0.451
388457.77001953125,0.459
388916.77001953125,0.459
389375.77001953125,0.454
389829.77001953125,0.471
390300.77001953125,0.454
390754.77001953125,0.922
391676.77001953125,0.469
392145.77001953125,0.464
392609.77001953125,0.467
393076.77001953125,0.459
393535.77001953125,0.464
393999.77001953125,0.937
394936.77001953125,0.461
395397.77001953125,0.459
395856.77001953125,0.459
396315.77001953125,0.461
396776.77001953125,0.466
397242.77001953125,0.465
397707.77001953125,0.266
397973.77001953125,0.19
398163.77001953125,0.919
399082.77001953125,0.245
399327.77001953125,0.23
399557.77001953125,0.458
400015.77001953125,0.26
400275.77001953125,0.193
400468.77001953125,0.463
400931.77001953125,0.458
401389.77001953125,0.467
401856.77001953125,0.459
402315.77001953125,0.462
402777.77001953125,0.453
403230.77001953125,0.457
403687.77001953125,0.468
404155.77001953125,0.918
405073.77001953125,0.453
405526.77001953125,0.459
405985.77001953125,0.459
406444.77001953125,0.456
406900.77001953125,0.466
407366.77001953125,0.453
407819.77001953125,0.451
408270.77001953125,0.46
408730.77001953125,0.459
409189.77001953125,0.461
409650.77001953125,0.461
410111.77001953125,0.451
410562.77001953125,0.454
411016.77001953125,0.458
411474.77001953125,0.922
412396.77001953125,0.446
412842.77001953125,0.457
413299.77001953125,0.455
413754.77001953125,0.454
414208.77001953125,0.455
414663.77001953125,0.458
415121.77001953125,0.444
415565.77001953125,0.447
416012.77001953125,0.455
416467.77001953125,0.453
416920.77001953125,0.452
417372.77001953125,0.458
417830.77001953125,0.447
418277.77001953125,0.451
418728.77001953125,0.454
419182.77001953125,0.46
419642.77001953125,0.905
420547.77001953125,0.448
420995.77001953125,0.901
421896.77001953125,0.454
422350.77001953125,0.459
422809.77001953125,0.45
423259.77001953125,0.444
423703.77001953125,0.451
424154.77001953125,1.355
425509.77001953125,0.456
425965.77001953125,0.45
426415.77001953125,0.897
427312.77001953125,0.45
427762.77001953125,0.457
428219.77001953125,0.456
428675.77001953125,0.452
429127.77001953125,0.447
429574.77001953125,0.445
430019.77001953125,0.456
430475.77001953125,0.443
430918.77001953125,0.457
431375.77001953125,0.453
431828.77001953125,0.445
432273.77001953125,0.449
432722.77001953125,0.911
433633.77001953125,0.897
434530.77001953125,0.448
434978.77001953125,0.453
435431.77001953125,0.455
435886.77001953125,0.456
436342.77001953125,0.462
436804.77001953125,0.454
437258.77001953125,0.455
437713.77001953125,0.463
438176.77001953125,0.459
